Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV
2020-10-28,266.2095642089844,277.2688869035369,265.8017975906153,277.2688869035369,23121800.0,271.641748046875,268.0912338256836,272.4904828151266,269.1843379481036,48.88610639326022,3.8234228916713278,3.32591867451869,0.4975042171526378,8.94725978275178,283.8265655661214,268.0912338256836,252.3559020852458,21525800.0
2020-10-29,279.2976989746094,282.05260449818235,272.28617790305685,275.0410530755641,32368100.0,273.0450439453125,268.79735870361327,273.7281584804871,270.14751518872316,57.056459932290565,4.143544085369115,3.4894437566887753,0.6541003286803395,9.439815533212222,285.1992652645188,268.79735870361327,252.39545214270774,53893900.0
2020-10-30,261.67437744140625,275.19025298700785,257.68627785680263,273.00224471408285,47247800.0,272.7645751953125,268.9549896240234,271.5365619279269,269.3405496889787,46.3199193649082,2.941282401596254,3.3798114856702712,-0.43852908407401703,10.309215932111831,285.0159027829768,268.9549896240234,252.89407646507004,6646100.0
2020-11-02,259.9339599609375,268.9942700041426,255.9359047042477,263.15630259796336,27165700.0,272.76059875488284,268.79138641357423,269.4269979339288,268.44468400059384,45.411111587548056,1.8269838771032028,3.069245963956858,-1.2422620868536551,10.505583744096338,285.1471664908292,268.79138641357423,252.43560633631927,-20519600.0
2020-11-03,263.8524780273437,268.5765614359262,259.45661109427283,261.7241699163496,17961900.0,272.53583068847655,269.1215759277344,268.4134488600042,268.0073310507605,47.89011680142562,1.2457259742980114,2.7045419660250887,-1.4588159917270773,10.406609929636124,284.7838626755031,269.1215759277344,253.45928917996568,-2557700.0
2020-11-04,285.81201171875,287.3634976708775,277.0997980252116,279.466817205041,35364400.0,273.3961120605469,270.5765914916992,271.5768239252307,269.7030149239024,59.09962224170116,2.527885849485301,2.669210742717131,-0.14132489323182984,11.342639194914529,286.75534522787075,270.5765914916992,254.39783775552766,32806700.0
2020-11-05,293.0722045898437,295.7574854015776,287.3734871676503,290.3073736163951,23823600.0,275.04308166503904,272.11415710449216,275.4850749551603,271.92865203494443,62.00935278301541,4.082779931163941,2.9519245804064935,1.1308553507574475,11.24284165833689,290.54985205794736,272.11415710449216,253.67846215103697,56630300.0
2020-11-06,291.80914306640625,292.99265279115843,286.4883268809268,292.34620529596697,13891000.0,275.90038146972654,273.55425720214845,278.45308733902317,273.8220321331789,61.19372247267523,5.1537173388013,3.392283132085455,1.7614342067158453,10.910058519092603,293.3676426172394,273.55425720214845,253.74087178705747,42739300.0
2020-11-09,277.2489929199219,290.98364179261284,277.01031209553867,288.2884363137147,25117700.0,276.065478515625,273.70443267822264,278.23416108100474,274.1484093509639,52.60396894838395,4.772545582799921,3.6683356222283483,1.104209960571573,11.187827979933672,293.5819246373817,273.70443267822264,253.82694071906357,17621600.0
2020-11-10,270.94354248046875,272.5049834288975,262.5595460774779,271.6099001374829,29067700.0,274.9853973388672,273.5199401855469,276.90859406272546,273.84318393472626,49.37184412088342,3.9165198633233445,3.717972470447348,0.19854739287599665,11.437943612970125,293.4279899743992,273.5199401855469,253.61189039669458,-11446100.0
2020-11-11,274.97149658203125,276.8810037913741,270.99332115298546,271.977909859332,14957000.0,275.86159057617186,273.7516693115234,276.55639452078105,273.9506422820886,51.425061592209694,3.522530012994025,3.6788839789566836,-0.1563539659626585,11.045052019965498,293.6139633627793,273.7516693115234,253.88937526026754,3510900.0
