Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV
2020-10-28,1.3191800117492676,1.3332500457763672,1.3177000284194946,1.3193000555038452,0.0,1.3169820070266725,1.3199550092220307,1.317666544437124,1.3193125299056407,49.00316268756718,-0.0019681529906663275,-0.0021954334927043726,0.0002272805020380451,0.00831520617456272,1.332834982383349,1.3199550092220307,1.3070750360607124,0.0
2020-10-29,1.3310500383377075,1.3389099836349487,1.3276000022888184,1.331179976463318,0.0,1.3186010122299194,1.3199810087680817,1.3200999069645027,1.320430387851552,60.04070781805474,-0.0007804573228673561,-0.0019124382587369694,0.0011319809358696132,0.009130546582499751,1.3329480690510662,1.3199810087680817,1.307013948485097,0.0
2020-10-30,1.331529974937439,1.3347100019454956,1.327970027923584,1.3313499689102173,0.0,1.3195030093193054,1.320137506723404,1.3221781011414002,1.3214874913835413,60.41377768341799,0.0001972531122573784,-0.0014904999845380999,0.0016877530967954783,0.008959791399600599,1.3335742650331153,1.320137506723404,1.3067007484136928,0.0
2020-11-02,1.3367899656295776,1.3366199731826782,1.3246699571609497,1.336549997329712,0.0,1.3213890075683594,1.320522004365921,1.3248348037756141,1.3229448698831638,64.34297042941267,0.0013806180598074924,-0.0009162763756689815,0.002296894435476474,0.009173378872609736,1.335332497088629,1.320522004365921,1.305711511643213,0.0
2020-11-03,1.3220499753952026,1.3233100175857544,1.3105000257492063,1.3220499753952026,0.0,1.3216970086097717,1.3203395009040833,1.3243284713428118,1.3228596418366914,49.51207677225266,0.0011161826232679584,-0.0005097845758815936,0.001625967199149552,0.010395990373164134,1.3349792407763958,1.3203395009040833,1.3056997610317707,0.0
2020-11-04,1.3102099895477295,1.3297200202941897,1.3095500469207764,1.3100099563598633,0.0,1.32151300907135,1.3192435026168823,1.3217614746527968,1.3216549130472663,41.281024619423,-4.8216462973371677e-05,-0.00041747095329994926,0.0003692544903265776,0.011094132016039076,1.3334644579883392,1.3192435026168823,1.3050225472454253,0.0
2020-11-05,1.3126399517059326,1.317579984664917,1.3029999732971191,1.312800049781799,0.0,1.321245002746582,1.3185864984989166,1.320103015935185,1.3207963453004727,43.362084061975644,-0.0007661023388561006,-0.00048719723041117953,-0.00027890510844492104,0.01134312339830756,1.3327528347325546,1.3185864984989166,1.3044201622652787,0.0
2020-11-06,1.308210015296936,1.3095699548721311,1.302340030670166,1.3082200288772583,0.0,1.3206990003585815,1.3180364966392517,1.3179406521827761,1.3195976472048978,40.541199732259514,-0.0016732032675288444,-0.0007243984378347125,-0.0009488048296941319,0.011268608943840349,1.332900264361943,1.3180364966392517,1.3031727289165604,0.0
2020-11-09,1.3022300004959106,1.3028299808502195,1.2929799556732178,1.3021399974822998,0.0,1.3194499969482423,1.3174979984760284,1.3150841700578915,1.3179435856135657,37.038389011620154,-0.002841865252553699,-0.0011478918007785098,-0.0016939734517751894,0.011551569706688771,1.333766600173926,1.3174979984760284,1.301229396778131,0.0
2020-11-10,1.3007099628448486,1.3049499988555908,1.2988699674606323,1.3008300065994265,0.0,1.3174599885940552,1.3169709980487823,1.312470677837338,1.3163022882070212,36.18261942524571,-0.00384635425284241,-0.0016875842911912898,-0.0021587699616511203,0.01116074554156518,1.3346378184469239,1.3169709980487823,1.2993041776506407,0.0
2020-11-11,1.3030999898910522,1.307489991188049,1.3008899688720703,1.3029500246047974,0.0,1.3158519864082336,1.316416996717453,1.3107669163925588,1.3150449264626431,38.58537565680926,-0.004398856534250539,-0.00222983873980314,-0.0021690177944473994,0.010847837170253413,1.3350667133630394,1.316416996717453,1.2977672800718667,0.0
